uid,anime_uid,score
255938,34096,8
259117,34599,10
253664,28891,7
8254,2904,9
291149,4181,10
10046,2904,10
247454,16664,6
140903,2904,8
23791,2904,10
25115,4181,4
116775,4672,8
280224,4181,9
181043,4181,10
259091,34599,8
259195,34599,9
210404,5114,10
262977,30276,8
262994,30276,10
214997,30276,7
173551,4181,10
249034,4181,5
277693,4181,10
42799,8038,10
86265,4181,9
19642,4181,10
89373,4181,10
177543,4181,9
87849,4181,9
88705,4181,5
19654,4181,10
307212,1253,8
303667,1425,7
147919,1425,7
189368,1425,6
125071,1425,6
96877,7588,7
136093,7588,7
29323,7588,7
291833,7588,9
256076,7588,10
203476,7588,10
322434,7588,10
61381,7588,7
198178,7588,9
280474,7588,9
305660,7588,7
114315,7588,7
250460,1425,10
122611,1425,9
58169,1425,9
294240,20767,7
149021,20767,8
158053,20767,7
137163,20767,7
208674,20767,4
282887,20767,8
142559,20767,8
156569,20767,9
30968,1253,9
292234,1253,5
33404,7588,10
73395,7588,9
179169,7588,9
79196,7588,9
27987,7588,7
109903,7588,8
31602,7588,8
194830,7588,8
56359,7588,9
27875,7588,10
26665,7588,5
27448,7588,9
27976,7588,8
38440,7588,9
240724,7588,9
119137,7588,9
28745,7588,9
181077,7588,8
27501,7588,9
27850,7588,8
180408,4181,10
62909,4181,10
219434,4181,10
102547,4181,4
192431,4181,10
35445,4181,10
47887,4181,10
180915,4181,9
47393,4181,10
203298,4181,9
53631,4181,10
307961,35363,5
286958,22673,10
89149,6862,8
206363,451,8
37548,9563,7
318322,30364,6
294657,33280,8
286043,33280,8
324123,36369,8
306507,27633,10
27223,8609,8
291435,34944,5
284453,36214,10
287119,36214,6
192647,5680,8
277193,31637,2
322537,31637,5
171871,552,9
27004,552,9
317667,36214,6
325487,36214,7
225747,552,9
115439,552,9
287828,552,6
66927,552,8
80410,552,9
202384,5680,10
237315,5680,6
279583,5680,8
317015,5680,8
281349,5680,10
261297,5680,9
323069,5680,8
248579,5680,2
264853,5680,9
304105,5680,1
305383,5680,7
241459,5680,8
52145,5680,8
56853,5680,10
238590,5680,5
251708,5680,8
251970,5680,4
282727,5680,5
257387,5680,10
15849,5680,8
241166,5680,7
325629,5680,9
241583,5680,6
265567,5680,8
88745,5680,9
84835,5680,10
198039,5680,8
104265,5680,9
231185,5680,7
232989,5680,10
234199,5680,10
271302,5680,8
158021,5680,9
120501,5680,10
146235,5680,9
30431,5680,7
230923,5680,9
17401,5680,7
223432,5680,9
95507,5680,6
110563,5680,10
101433,5680,9
113583,5680,10
205817,5680,7
116603,5680,9
119131,5680,7
102883,5680,8
101505,5680,7
57005,5680,7
98211,5680,9
270074,5680,9
222354,5680,8
32090,5680,8
79950,5680,9
227816,5680,10
226031,5680,8
136603,5680,8
120467,5680,8
224328,5680,10
235295,5680,7
233416,5680,7
237000,5680,10
237430,5680,7
248813,5680,5
250070,5680,8
256285,5680,9
252929,5680,7
266788,5680,7
268250,5680,9
96729,5680,9
78297,5680,9
14687,5680,8
234582,5680,7
83609,5680,10
56117,5680,6
16851,5680,8
229894,5680,10
77261,5680,9
279359,5680,5
238931,5680,9
239347,5680,7
242963,5680,8
246821,5680,6
249488,5680,8
236853,5680,9
235738,5680,10
223802,5680,9
212071,5680,6
104277,5680,8
113407,5680,10
157009,5680,7
209226,5680,8
158667,5680,10
149637,5680,10
53515,5680,10
64445,5680,9
30044,5680,7
265725,5680,9
270551,5680,10
249406,5680,10
25856,5680,8
