emotion,word,odds,freq
admiration,great,41.80,0.014
admiration,awesome,31.18,0.007
admiration,amazing,29.65,0.006
admiration,good,26.87,0.016
admiration,beautiful,22.87,0.004
admiration,nice,20.57,0.006
admiration,appreciate,17.56,0.003
admiration,cute,17.55,0.003
admiration,best,17.26,0.006
admiration,pretty,13.86,0.005
admiration,fantastic,13.15,0.001
admiration,cool,10.94,0.003
admiration,excellent,10.83,0.001
admiration,brilliant,9.96,0.001
admiration,adorable,9.89,0.001
admiration,wonderful,9.85,0.001
admiration,incredible,9.79,0.001
admiration,job,9.77,0.002
admiration,gorgeous,9.58,0.001
admiration,impressive,9.55,0.001
admiration,wow,9.23,0.003
admiration,looks,8.41,0.003
admiration,perfect,8.20,0.001
admiration,congrats,8.17,0.001
admiration,handsome,7.90,0.000
admiration,such,7.70,0.002
admiration,impressed,7.66,0.000
admiration,appreciated,7.36,0.000
admiration,genius,7.23,0.000
admiration,congratulations,7.21,0.001
admiration,interesting,7.18,0.002
admiration,proud,6.85,0.001
admiration,sweet,6.60,0.001
admiration,very,6.53,0.004
admiration,favorite,6.49,0.002
admiration,delicious,6.42,0.001
admiration,sexy,6.21,0.000
admiration,legend,6.15,0.000
admiration,super,6.14,0.001
admiration,stunning,6.05,0.000
admiration,brave,5.56,0.000
admiration,glorious,5.35,0.000
admiration,this,5.35,0.020
admiration,ever,5.23,0.002
admiration,really,5.18,0.006
admiration,greatest,5.13,0.000
admiration,beauty,5.13,0.000
admiration,art,4.89,0.000
admiration,applaud,4.82,0.000
admiration,honesty,4.81,0.000
admiration,idea,4.70,0.001
admiration,nailed,4.49,0.000
admiration,smart,4.41,0.000
admiration,performances,4.41,0.000
admiration,neat,4.34,0.000
admiration,look,4.31,0.002
admiration,smarter,4.29,0.000
admiration,talented,4.26,0.000
admiration,lovely,4.18,0.000
admiration,cutie,4.15,0.000
admiration,clever,4.13,0.000
admiration,truly,4.08,0.001
admiration,love,4.05,0.006
admiration,movie,4.04,0.001
admiration,gesture,3.96,0.000
admiration,one,3.94,0.006
admiration,hero,3.89,0.000
admiration,patience,3.89,0.000
admiration,lit,3.88,0.000
admiration,artwork,3.88,0.000
admiration,cutest,3.84,0.000
admiration,outstanding,3.83,0.000
admiration,soundtrack,3.77,0.000
admiration,breakers,3.74,0.000
admiration,satisfying,3.64,0.000
admiration,cinematic,3.54,0.000
admiration,absolutely,3.52,0.001
admiration,story,3.50,0.001
admiration,dedication,3.49,0.000
admiration,amazingly,3.47,0.000
admiration,treasure,3.47,0.000
admiration,salute,3.44,0.000
admiration,admire,3.44,0.000
admiration,album,3.41,0.000
admiration,respect,3.40,0.000
admiration,praise,3.39,0.000
admiration,beacon,3.39,0.000
admiration,majestic,3.39,0.000
admiration,photo,3.38,0.000
admiration,courage,3.37,0.000
admiration,delightful,3.37,0.000
admiration,beautifully,3.36,0.000
admiration,famous,3.36,0.000
admiration,movies,3.35,0.000
admiration,props,3.34,0.000
admiration,charming,3.32,0.000
admiration,favourite,3.32,0.000
admiration,perfectly,3.31,0.000
admiration,sweetest,3.31,0.000
admiration,visualization,3.28,0.000
admiration,pilgrim,3.28,0.000
admiration,dashing,3.28,0.000
admiration,novo,3.28,0.000
admiration,skater,3.28,0.000
admiration,circlejerking,3.28,0.000
admiration,x65,3.28,0.000
admiration,litchfield,3.28,0.000
admiration,wholesome,3.27,0.000
admiration,game,3.26,0.002
admiration,talent,3.25,0.000
admiration,film,3.25,0.000
admiration,legendary,3.25,0.000
admiration,seen,3.24,0.001
admiration,nonetheless,3.24,0.000
admiration,cuteness,3.23,0.000
admiration,loved,3.22,0.001
admiration,played,3.21,0.001
admiration,well,3.21,0.003
admiration,downtown,3.21,0.000
admiration,greatly,3.19,0.000
admiration,sounds,3.18,0.001
admiration,appreciation,3.18,0.000
admiration,binged,3.16,0.000
admiration,stud,3.15,0.000
admiration,pic,3.14,0.000
admiration,bestest,3.11,0.000
admiration,admired,3.11,0.000
admiration,prettiest,3.11,0.000
admiration,summed,3.09,0.000
admiration,rogue,3.09,0.000
admiration,simpsons,3.07,0.000
admiration,admirable,3.06,0.000
admiration,work,3.03,0.002
admiration,sir,3.03,0.000
admiration,done,3.02,0.001
admiration,winner,3.02,0.000
admiration,informative,3.01,0.000
admiration,museum,3.01,0.000
amusement,lol,65.47,0.043
amusement,haha,32.19,0.012
amusement,funny,26.68,0.009
amusement,lmao,20.18,0.006
amusement,hilarious,18.42,0.003
amusement,fun,16.92,0.007
amusement,hahaha,15.62,0.003
amusement,laugh,14.26,0.003
amusement,laughed,12.98,0.002
amusement,joke,12.25,0.004
amusement,laughing,9.67,0.001
amusement,hahahaha,7.47,0.001
amusement,funnier,7.09,0.000
amusement,hahah,6.41,0.000
amusement,funniest,6.26,0.000
amusement,hehe,5.55,0.000
amusement,joking,5.51,0.001
amusement,hahahah,5.23,0.000
amusement,nike,5.12,0.000
amusement,entertaining,4.56,0.000
amusement,kidding,4.50,0.001
amusement,jokes,4.38,0.001
amusement,loud,4.37,0.001
amusement,chuckle,4.20,0.000
amusement,lmfao,4.18,0.000
amusement,hahahahaha,4.13,0.000
amusement,amusing,3.72,0.000
amusement,made,3.69,0.003
amusement,laughable,3.56,0.000
amusement,ahahaha,3.56,0.000
amusement,actually,3.47,0.003
amusement,hah,3.44,0.000
amusement,antis,3.40,0.000
amusement,gnt,3.40,0.000
amusement,lolz,3.40,0.000
amusement,asain,3.40,0.000
amusement,brazzers,3.40,0.000
amusement,wtaf,3.40,0.000
amusement,themes,3.40,0.000
amusement,hahahahahaha,3.38,0.000
amusement,lmaooo,3.22,0.000
amusement,rofl,3.21,0.000
amusement,giggled,3.21,0.000
amusement,ahaha,3.18,0.000
amusement,stbxh,3.04,0.000
amusement,bahahaha,3.04,0.000
amusement,buncha,3.04,0.000
amusement,stares,3.04,0.000
amusement,giggling,3.04,0.000
amusement,lool,3.03,0.000
amusement,duke,3.03,0.000
amusement,pear,3.03,0.000
amusement,cemetery,3.03,0.000
amusement,bargaining,3.03,0.000
amusement,lmaoo,3.03,0.000
anger,fuck,23.22,0.013
anger,hate,17.37,0.011
anger,fucking,16.97,0.009
anger,angry,10.82,0.003
anger,dare,10.25,0.002
anger,shut,7.60,0.002
anger,stupid,7.21,0.004
anger,hell,6.67,0.003
anger,idiot,6.37,0.002
anger,asshole,6.14,0.001
anger,bitch,6.08,0.001
anger,shit,5.92,0.004
anger,infuriating,5.74,0.000
anger,fucked,5.72,0.001
anger,motherfucker,5.55,0.000
anger,motherfucking,5.55,0.000
anger,wtf,5.47,0.001
anger,bastard,5.29,0.001
anger,nike,5.23,0.000
anger,bastards,4.65,0.000
anger,bullshit,4.57,0.001
anger,moron,4.10,0.001
anger,irrationally,4.09,0.000
anger,anger,4.07,0.001
anger,stop,4.06,0.003
anger,damn,4.03,0.003
anger,fuuuuck,3.94,0.000
anger,kill,3.87,0.002
anger,cunts,3.81,0.000
anger,fuckin,3.78,0.001
anger,haters,3.66,0.000
anger,aggressively,3.66,0.000
anger,bloody,3.65,0.001
anger,frustrating,3.64,0.001
anger,extradition,3.45,0.000
anger,swiped,3.45,0.000
anger,kick,3.45,0.001
anger,sucks,3.45,0.001
anger,rude,3.44,0.001
anger,fucken,3.34,0.000
anger,burn,3.32,0.001
anger,aggressive,3.26,0.000
anger,whore,3.26,0.000
anger,you,3.25,0.035
anger,hated,3.24,0.001
anger,suck,3.23,0.001
anger,rapist,3.17,0.000
anger,rape,3.13,0.001
anger,ants,3.09,0.000
anger,fuckkkkk,3.09,0.000
anger,fuuuck,3.09,0.000
anger,off,3.07,0.003
anger,cruel,3.02,0.000
annoyance,annoying,14.32,0.002
annoyance,stupid,12.72,0.003
annoyance,fucking,11.77,0.004
annoyance,shit,9.11,0.003
annoyance,dumb,8.69,0.002
annoyance,frustrating,8.06,0.001
annoyance,idiot,7.88,0.001
annoyance,annoyed,7.66,0.000
annoyance,fuck,7.54,0.003
annoyance,damn,7.38,0.003
annoyance,sucks,7.04,0.001
annoyance,pissed,6.59,0.001
annoyance,idiots,6.15,0.001
annoyance,ridiculous,5.86,0.001
annoyance,hate,5.66,0.003
annoyance,asshole,5.54,0.001
annoyance,hell,5.35,0.002
annoyance,irritating,4.97,0.000
annoyance,stop,4.96,0.002
annoyance,bullshit,4.84,0.001
annoyance,disturbing,4.83,0.000
annoyance,nonsense,4.70,0.000
annoyance,weird,4.62,0.002
annoyance,fool,4.55,0.000
annoyance,shut,4.54,0.001
annoyance,bitch,4.51,0.000
annoyance,childish,4.47,0.000
annoyance,sucked,4.43,0.000
annoyance,assholes,4.37,0.000
annoyance,people,4.23,0.007
annoyance,shithead,3.95,0.000
annoyance,piss,3.94,0.000
annoyance,accuse,3.91,0.000
annoyance,annoy,3.80,0.000
annoyance,insulting,3.78,0.000
annoyance,dumbass,3.77,0.000
annoyance,eyebrow,3.76,0.000
annoyance,brazen,3.76,0.000
annoyance,douchebag,3.61,0.000
annoyance,moron,3.61,0.000
annoyance,annoys,3.61,0.000
annoyance,crap,3.56,0.001
annoyance,selfish,3.54,0.000
annoyance,seriously,3.53,0.001
annoyance,shitposts,3.53,0.000
annoyance,reckless,3.53,0.000
annoyance,horseshit,3.50,0.000
annoyance,don,3.47,0.007
annoyance,fucked,3.43,0.000
annoyance,intolerance,3.39,0.000
annoyance,sb2,3.33,0.000
annoyance,feigning,3.33,0.000
annoyance,detectives,3.33,0.000
